creationTime,0,1,2,3,4,5,6,7,8,9,10
1522628355551,chicago/traffic-lane/694/thing/traffic-lane/1522628355551,,thing/traffic-lane,,22,-1,chicago/traffic-lane/694,-87.6159748727,41.8021096226,41.8093848774,-87.6163943054
1522628355673,chicago/traffic-lane/697/thing/traffic-lane/1522628355673,,thing/traffic-lane,,18,-1,chicago/traffic-lane/697,-87.616805129,41.823824691,41.8311007753,-87.6169702483
1522631051097,chicago/traffic-lane/1184/thing/traffic-lane/1522631051097,,thing/traffic-lane,,27,-1,chicago/traffic-lane/1184,-87.6607357537,42.0055389804,42.0128288601,-87.6632694105
1522631051197,chicago/traffic-lane/1153/thing/traffic-lane/1522631051197,,thing/traffic-lane,,22,-1,chicago/traffic-lane/1153,-87.8071497455,41.9538138239,41.9683436725,-87.8069823878
1522631051342,chicago/traffic-lane/1221/thing/traffic-lane/1522631051342,,thing/traffic-lane,,25,-1,chicago/traffic-lane/1221,-87.646935,41.874338,41.881776,-87.647171
1522631051430,chicago/traffic-lane/1222/thing/traffic-lane/1522631051430,,thing/traffic-lane,,33,-1,chicago/traffic-lane/1222,-87.647171,41.881776,41.891185,-87.647427
1522631051631,chicago/traffic-lane/1231/thing/traffic-lane/1522631051631,,thing/traffic-lane,,14,-1,chicago/traffic-lane/1231,-87.649296,41.947316,41.954562,-87.649509
1522631051683,chicago/traffic-lane/1103/thing/traffic-lane/1522631051683,,thing/traffic-lane,,28,-1,chicago/traffic-lane/1103,-87.763913,41.851385,41.8510024115,-87.7834783427
1522631054503,chicago/traffic-lane/692/thing/traffic-lane/1522631054503,,thing/traffic-lane,,16,-1,chicago/traffic-lane/692,-87.6156377043,41.7875159099,41.7946755473,-87.615791142
1522631054666,chicago/traffic-lane/683/thing/traffic-lane/1522631054666,,thing/traffic-lane,,23,-1,chicago/traffic-lane/683,-87.6139718105,41.7218553843,41.7291900977,-87.6141896483
1522631054838,chicago/traffic-lane/686/thing/traffic-lane/1522631054838,,thing/traffic-lane,,24,-1,chicago/traffic-lane/686,-87.6145593931,41.743809104,41.7511190099,-87.6148109218
1522631055141,chicago/traffic-lane/623/thing/traffic-lane/1522631055141,,thing/traffic-lane,,21,-1,chicago/traffic-lane/623,-87.7459028831,41.9096276932,41.9169301148,-87.7459288182
1522631055157,chicago/traffic-lane/629/thing/traffic-lane/1522631055157,,thing/traffic-lane,,26,-1,chicago/traffic-lane/629,-87.7471183356,41.9534197462,41.9622554221,-87.7473906234
